,rank_H,delta_leak,rank_sigma,rank_SN,augmented_gap,sigma_innovation,delta_residual_frobenius,gamma_lstsq_residual,tensor_reconstruction_error,H_spectral_gap,alpha_density,beta_density
rank_H,,,,,,,,,,,,
delta_leak,,1.0000,-0.1501,1.0000,-1.0000,,0.7381,-0.6448,0.2346,-0.3418,0.6098,0.6226
rank_sigma,,-0.1501,1.0000,-0.1501,0.1501,,-0.1274,0.1796,-0.0738,0.1157,-0.2194,-0.2201
rank_SN,,1.0000,-0.1501,1.0000,-1.0000,,0.7381,-0.6448,0.2346,-0.3418,0.6098,0.6226
augmented_gap,,-1.0000,0.1501,-1.0000,1.0000,,-0.7381,0.6448,-0.2346,0.3418,-0.6098,-0.6226
sigma_innovation,,,,,,,,,,,,
delta_residual_frobenius,,0.7381,-0.1274,0.7381,-0.7381,,1.0000,-0.5919,0.0450,-0.2480,0.5758,0.5711
gamma_lstsq_residual,,-0.6448,0.1796,-0.6448,0.6448,,-0.5919,1.0000,-0.1611,0.4891,-0.8509,-0.8647
tensor_reconstruction_error,,0.2346,-0.0738,0.2346,-0.2346,,0.0450,-0.1611,1.0000,-0.1870,0.2799,0.2613
H_spectral_gap,,-0.3418,0.1157,-0.3418,0.3418,,-0.2480,0.4891,-0.1870,1.0000,-0.4388,-0.4561
alpha_density,,0.6098,-0.2194,0.6098,-0.6098,,0.5758,-0.8509,0.2799,-0.4388,1.0000,0.7553
beta_density,,0.6226,-0.2201,0.6226,-0.6226,,0.5711,-0.8647,0.2613,-0.4561,0.7553,1.0000
