decomposition_id,source,source_detail,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric,projection_nonzero_count_numeric,projection_unique_nonzero_coefficients_numeric,projection_allclose_to_integer_numeric,rank_Nuisance_numeric,rank_Sigma_numeric,quotient_gain_numeric,max_abs_residual,loss_value,rank_H_exact,rank_Delta_exact,rank_HDelta_exact,rank_Nuisance_exact,rank_Sigma_exact,quotient_gain_exact,eta_nullity_exact,delta_in_eta_exact,projection_nonzero_count,projection_unique_nonzero_coefficients,projection_integral,projection_support_min,projection_support_max
sym_146,symmetry_orbit,"action_id=146;((2, 0, 1), (0, 1, 2), (1, 0, 2))",14,10,14,True,1.5543122344752192e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,44,"['-1', '1']",True,0,4
sym_147,symmetry_orbit,"action_id=147;((2, 0, 1), (0, 1, 2), (1, 2, 0))",14,10,14,True,1.4278635677617983e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,45,"['-1', '-2', '1']",True,0,5
sym_148,symmetry_orbit,"action_id=148;((2, 0, 1), (0, 1, 2), (2, 0, 1))",14,10,14,True,1.9984014443252818e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,44,"['-1', '1']",True,0,4
sym_149,symmetry_orbit,"action_id=149;((2, 0, 1), (0, 1, 2), (2, 1, 0))",14,10,14,True,1.0778683295913036e-15,95,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,45,"['-1', '-2', '1']",True,0,5
sym_150,symmetry_orbit,"action_id=150;((2, 0, 1), (0, 2, 1), (0, 1, 2))",14,10,14,True,3.774758283725532e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,52,"['-1', '1']",True,0,6
sym_151,symmetry_orbit,"action_id=151;((2, 0, 1), (0, 2, 1), (0, 2, 1))",14,10,14,True,3.247402347028583e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,72,"['-1', '-2', '1']",True,0,6
sym_152,symmetry_orbit,"action_id=152;((2, 0, 1), (0, 2, 1), (1, 0, 2))",14,10,14,True,1.6237011735142914e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,52,"['-1', '1']",True,0,6
sym_153,symmetry_orbit,"action_id=153;((2, 0, 1), (0, 2, 1), (1, 2, 0))",14,10,14,True,1.6653345369377348e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,72,"['-1', '-2', '1']",True,0,6
sym_154,symmetry_orbit,"action_id=154;((2, 0, 1), (0, 2, 1), (2, 0, 1))",14,10,14,True,1.27675647831893e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,52,"['-1', '1']",True,0,6
sym_155,symmetry_orbit,"action_id=155;((2, 0, 1), (0, 2, 1), (2, 1, 0))",14,10,14,True,1.887379141862766e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,72,"['-1', '-2', '1']",True,0,6
sym_156,symmetry_orbit,"action_id=156;((2, 0, 1), (1, 0, 2), (0, 1, 2))",14,10,14,True,1.7763568394002505e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,48,"['-1', '1']",True,0,6
sym_157,symmetry_orbit,"action_id=157;((2, 0, 1), (1, 0, 2), (0, 2, 1))",14,10,14,True,2.4424906541753444e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,54,"['-1', '1', '2']",True,0,6
sym_158,symmetry_orbit,"action_id=158;((2, 0, 1), (1, 0, 2), (1, 0, 2))",14,10,14,True,1.7763568394002505e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,48,"['-1', '1']",True,0,6
sym_159,symmetry_orbit,"action_id=159;((2, 0, 1), (1, 0, 2), (1, 2, 0))",14,10,14,True,1.7763568394002505e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,54,"['-1', '1', '2']",True,0,6
