policy_name,base_label,step_idx,branch,sample_index,eps,base_kappa_ker,kappa_ker_state,honest_defect_l2,tensor_max_abs_residual,restricted_rank,rotation_deg,step_cost,used_budget_before,used_budget_after,score,is_regular,within_rotation,within_budget,accepted_by_policy
smooth_greedy,alphatensor_rank23_transpose,0,structured,0,0.001,0.6245923009701738,0.6239670716119048,0.623967559121639,2.5495347402774828e-15,14,0.18551051755612386,0.0032377554228093693,0.0,0.0032377554228093693,0.6239670716119048,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,structured,0,0.003,0.6245923009701738,0.6227128426484574,0.6227171809869965,2.6645352591003757e-15,14,0.549976628574129,0.009713266268428108,0.0,0.009713266268428108,0.6227128426484574,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,structured,0,0.01,0.6245923009701738,0.6182852022162333,0.6183316092284173,3.0654149253262746e-15,14,1.7601073355066168,0.03237755422809369,0.0,0.03237755422809369,0.6182852022162333,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,structured,0,0.03,0.6245923009701738,0.6053488503195167,0.6057295230993113,3.0030078388482373e-15,14,4.733485434386631,0.09713266268428107,0.0,0.09713266268428107,0.6053488503195167,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,structured,0,0.05,0.6245923009701738,0.5920644505108291,0.5930582165028025,2.497101157017693e-15,14,7.149481880865297,0.16188777114046848,0.0,0.16188777114046848,0.5920644505108291,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,1,0.001,0.6245923009701738,0.6239814082204828,0.6239832071322841,3.2596009803589926e-15,14,0.23983667831714825,0.003576265760660097,0.0,0.003576265760660097,0.6239814082204828,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,1,0.003,0.6245923009701738,0.6227539994615989,0.622770094043261,2.7051652945323236e-15,14,0.7084829645363221,0.010728797281980292,0.0,0.010728797281980292,0.6227539994615989,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,1,0.01,0.6245923009701738,0.6184027051863158,0.6185780628340758,2.384441660977474e-15,14,2.2394756605575417,0.03576265760660097,0.0,0.03576265760660097,0.6184027051863158,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,1,0.03,0.6245923009701738,0.6055729806877815,0.6070798312269462,2.5272324237800308e-15,14,5.828408878533711,0.1072879728198029,0.0,0.1072879728198029,0.6055729806877815,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,1,0.05,0.6245923009701738,0.5922941645891776,0.596347086190331,2.886579864025407e-15,14,8.557636980834259,0.17881328803300486,0.0,0.17881328803300486,0.5922941645891776,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,2,0.001,0.6245923009701738,0.6240143654621348,0.6240168427815082,2.2787990890105164e-15,14,0.15727486874832355,0.0038123351448985207,0.0,0.0038123351448985207,0.6240143654621348,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,2,0.003,0.6245923009701738,0.622855883664081,0.6228781818871989,2.55351295663786e-15,14,0.4673910031913974,0.011437005434695563,0.0,0.011437005434695563,0.622855883664081,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,2,0.01,0.6245923009701738,0.6187748067961765,0.6190226844554665,2.789216557366069e-15,14,1.5079164981922946,0.03812335144898521,0.0,0.03812335144898521,0.6187748067961765,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,2,0.03,0.6245923009701738,0.6069115172539084,0.6091477042253961,2.6645352591003757e-15,14,4.1368958647965215,0.11437005434695562,0.0,0.11437005434695562,0.6069115172539084,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,2,0.05,0.6245923009701738,0.5947949951864192,0.6010307401130115,3.152875019442632e-15,14,6.346973617003923,0.19061675724492605,0.0,0.19061675724492605,0.5947949951864192,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,3,0.001,0.6245923009701738,0.6239473232774031,0.6239500478317604,2.081368520310089e-15,14,0.17310400165098996,0.003799699247186201,0.0,0.003799699247186201,0.6239473232774031,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,3,0.003,0.6245923009701738,0.6226537104528415,0.6226782305776427,1.746808469900463e-15,14,0.5132990639167249,0.011399097741558603,0.0,0.011399097741558603,0.6226537104528415,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,3,0.01,0.6245923009701738,0.6180892018428407,0.6183617146133294,2.6490121063944225e-15,14,1.6438320470888526,0.03799699247186201,0.0,0.03799699247186201,0.6180892018428407,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,3,0.03,0.6245923009701738,0.6047655535012738,0.6072276997529376,2.55351295663786e-15,14,4.427764236194408,0.11399097741558602,0.0,0.11399097741558602,0.6047655535012738,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,3,0.05,0.6245923009701738,0.591090270277928,0.5979891469565566,2.403603762713608e-15,14,6.6947775459959,0.18998496235931006,0.0,0.18998496235931006,0.591090270277928,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,4,0.001,0.6245923009701738,0.6239585431549346,0.6239600914210572,3.774758283725532e-15,14,0.2377684030606747,0.0038400451910265265,0.0,0.0038400451910265265,0.6239585431549346,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,4,0.003,0.6245923009701738,0.6226852100960366,0.6226990573775684,2.2400254059152272e-15,14,0.7033449306698129,0.01152013557307958,0.0,0.01152013557307958,0.6226852100960366,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,4,0.01,0.6245923009701738,0.6181708460381565,0.6183215639719765,1.9984014443252818e-15,14,2.23335050695274,0.03840045191026527,0.0,0.03840045191026527,0.6181708460381565,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,4,0.03,0.6245923009701738,0.6048511013167637,0.6061463597299903,4.296910528182508e-15,14,5.8754784542770215,0.11520135573079579,0.0,0.11520135573079579,0.6048511013167637,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,4,0.05,0.6245923009701738,0.5910451544102024,0.5945568103069864,2.220446049250313e-15,14,8.700075756482935,0.19200225955132633,0.0,0.19200225955132633,0.5910451544102024,1,1,1,1
