policy_name,base_label,step_idx,accepted,branch,sample_index,eps,base_kappa_ker,next_kappa_ker,rotation_deg,step_cost,used_budget_after,score,tensor_max_abs_residual,restricted_rank
smooth_greedy,alphatensor_rank23_transpose,0,1,wildcard,18,0.05,0.6245923009701738,0.5850252208188738,10.517876328661277,0.2697209500795926,0.2697209500795926,0.5850252208188738,1.551664028125876e-15,14
smooth_greedy,alphatensor_rank23_transpose,1,1,wildcard,16,0.05,0.5850252208188738,0.5479975388177377,4.17535876905823,0.23725010635378352,0.5069710564333761,0.5479975388177377,2.4075747741712438e-15,14
smooth_greedy,alphatensor_rank23_transpose,2,1,wildcard,34,0.05,0.5479975388177377,0.5137997799369856,3.070447742266379,0.22793330504377482,0.734904361477151,0.5137997799369856,5.922505911502504e-15,14
smooth_greedy,alphatensor_rank23_transpose,3,1,wildcard,18,0.05,0.5137997799369856,0.4838247679173141,3.3889159640462174,0.22499249036101665,0.9598968518381676,0.4838247679173141,2.3314683517128287e-15,14
smooth_greedy,alphatensor_rank23_transpose,4,1,wildcard,9,0.05,0.4838247679173141,0.45369843059289033,2.8280826866494135,0.2483588999349883,1.208255751773156,0.45369843059289033,2.529109150678322e-15,14
smooth_greedy,alphatensor_rank23_transpose,5,1,wildcard,37,0.05,0.45369843059289033,0.42587848038889664,2.6303611683302344,0.250806884061635,1.459062635834791,0.42587848038889664,3.794098520062343e-15,14
smooth_greedy,alphatensor_rank23_transpose,6,1,wildcard,37,0.05,0.42587848038889664,0.3997474173311082,2.4954047554258856,0.24611752780490265,1.7051801636396935,0.3997474173311082,2.3252688075511334e-15,14
smooth_greedy,alphatensor_rank23_transpose,7,1,wildcard,6,0.05,0.3997474173311082,0.37602350369115983,2.136755780299337,0.25144392995956055,1.956624093599254,0.37602350369115983,1.887379141862766e-15,14
smooth_greedy,standard_rank27,0,1,wildcard,8,0.05,0.9999999999999996,0.9393557464684298,11.671697134743294,0.10999014207359133,0.10999014207359133,0.9393557464684298,3.3306690738754696e-16,18
smooth_greedy,standard_rank27,1,1,wildcard,17,0.05,0.9393557464684298,0.8839174202875828,0.33920815669845944,0.10453813280884486,0.2145282748824362,0.8839174202875828,3.3306690738754696e-16,18
smooth_greedy,standard_rank27,2,1,wildcard,15,0.05,0.8839174202875828,0.8292139990542257,0.19335918271618904,0.11907371750867718,0.3336019923911134,0.8292139990542257,3.3306690738754696e-16,18
smooth_greedy,standard_rank27,3,1,wildcard,10,0.05,0.8292139990542257,0.7744458179419105,0.4331881041712425,0.12435718816305977,0.4579591805541732,0.7744458179419105,3.3306690738754696e-16,18
smooth_greedy,standard_rank27,4,1,wildcard,43,0.05,0.7744458179419105,0.7296155416184796,0.24704720535289065,0.10096780517937953,0.5589269857335527,0.7296155416184796,2.220446049250313e-16,18
smooth_greedy,standard_rank27,5,1,wildcard,36,0.05,0.7296155416184796,0.6857226014815226,0.2892999532794089,0.12598057508513424,0.684907560818687,0.6857226014815226,3.3306690738754696e-16,18
smooth_greedy,standard_rank27,6,1,wildcard,48,0.05,0.6857226014815226,0.64614045459156,0.183407583950996,0.10765806392701556,0.7925656247457026,0.64614045459156,2.220446049250313e-16,18
smooth_greedy,standard_rank27,7,1,wildcard,23,0.05,0.64614045459156,0.607502204723264,0.13494427340437162,0.12091415970385114,0.9134797844495537,0.607502204723264,3.3306690738754696e-16,18
smooth_budgeted_long,alphatensor_rank23_transpose,0,1,structured,0,0.001,0.6245923009701738,0.6239670716119048,0.18551051755612386,0.0032377554228093693,0.0032377554228093693,0.6262189090615172,2.5495347402774828e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,1,1,structured,0,0.001,0.6239670716119048,0.6233424714689694,0.18429498245549888,0.0032331844099295235,0.006470939832738893,0.6255895404190195,3.1373854632626695e-15,14
