base_label,policy_name,rotation_cap_deg,total_budget,accepted_steps,wildcard_wins,budget_used,initial_kappa_ker,final_kappa_ker,total_gain,feasible_descent
standard_rank27,sharpen_rot3p0_budget0p02,3.0,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p0_budget0p05,3.0,0.05,2,2,0.049883981295596104,0.6245923009701738,0.6164871630200773,0.008105137950096486,1
standard_rank27,sharpen_rot3p0_budget0p05,3.0,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p0_budget0p1,3.0,0.1,3,3,0.09922122377956641,0.6245923009701738,0.6079441167859919,0.016648184184181902,1
standard_rank27,sharpen_rot3p0_budget0p1,3.0,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p0_budget0p2,3.0,0.2,4,3,0.1992277051329582,0.6245923009701738,0.5936867728710417,0.030905528099132162,1
standard_rank27,sharpen_rot3p0_budget0p2,3.0,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p0_budget0p4,3.0,0.4,4,4,0.3995893884254204,0.6245923009701738,0.5649730552065244,0.05961924576364941,1
standard_rank27,sharpen_rot3p0_budget0p4,3.0,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p0_budget0p8,3.0,0.8,5,5,0.7999744161735103,0.6245923009701738,0.5278918012700928,0.09670049970008099,1
standard_rank27,sharpen_rot3p0_budget0p8,3.0,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p0_budget1p2,3.0,1.2,6,6,1.1974490755409717,0.6245923009701738,0.4697249482238472,0.15486735274632663,1
standard_rank27,sharpen_rot3p0_budget1p2,3.0,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p0_budget2p0,3.0,2.0,13,12,1.9997898110434946,0.6245923009701738,0.3638534968651611,0.2607388041050127,1
standard_rank27,sharpen_rot3p0_budget2p0,3.0,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p0_budget3p0,3.0,3.0,15,15,2.9998952309529767,0.6245923009701738,0.2984414580430837,0.3261508429270901,1
standard_rank27,sharpen_rot3p0_budget3p0,3.0,3.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p5_budget0p02,3.5,0.02,2,2,0.019639334596059467,0.6245923009701738,0.6215593954552918,0.0030329055148820006,1
standard_rank27,sharpen_rot3p5_budget0p02,3.5,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p5_budget0p05,3.5,0.05,2,2,0.04779586981885895,0.6245923009701738,0.6166475817476934,0.007944719222480412,1
standard_rank27,sharpen_rot3p5_budget0p05,3.5,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p5_budget0p1,3.5,0.1,1,1,0.09948693448231626,0.6245923009701738,0.6085165140507129,0.016075786919460877,1
standard_rank27,sharpen_rot3p5_budget0p1,3.5,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p5_budget0p2,3.5,0.2,4,4,0.1975407885952603,0.6245923009701738,0.593304673031931,0.0312876279382428,1
standard_rank27,sharpen_rot3p5_budget0p2,3.5,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p5_budget0p4,3.5,0.4,4,4,0.39914951242206326,0.6245923009701738,0.5715639226329422,0.05302837833723162,1
standard_rank27,sharpen_rot3p5_budget0p4,3.5,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p5_budget0p8,3.5,0.8,6,6,0.799863573007491,0.6245923009701738,0.5155317474507749,0.10906055351939892,1
standard_rank27,sharpen_rot3p5_budget0p8,3.5,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p5_budget1p2,3.5,1.2,7,7,1.1991195179056162,0.6245923009701738,0.4725412422327484,0.15205105873742542,1
standard_rank27,sharpen_rot3p5_budget1p2,3.5,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p5_budget2p0,3.5,2.0,10,10,1.9969175526998861,0.6245923009701738,0.36241301775070645,0.2621792832194674,1
standard_rank27,sharpen_rot3p5_budget2p0,3.5,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot3p5_budget3p0,3.5,3.0,14,13,2.998816185971076,0.6245923009701738,0.29334657245424345,0.33124572851593037,1
standard_rank27,sharpen_rot3p5_budget3p0,3.5,3.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p0_budget0p02,4.0,0.02,2,2,0.019543964243854427,0.6245923009701738,0.6214553159059171,0.0031369850642567476,1
standard_rank27,sharpen_rot4p0_budget0p02,4.0,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p0_budget0p05,4.0,0.05,2,2,0.04938486159807412,0.6245923009701738,0.6167417019442547,0.007850599025919114,1
standard_rank27,sharpen_rot4p0_budget0p05,4.0,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p0_budget0p1,4.0,0.1,2,2,0.09837561136527226,0.6245923009701738,0.609458574729116,0.015133726241057799,1
standard_rank27,sharpen_rot4p0_budget0p1,4.0,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p0_budget0p2,4.0,0.2,2,2,0.19712647380495535,0.6245923009701738,0.594581186236147,0.030011114734026845,1
standard_rank27,sharpen_rot4p0_budget0p2,4.0,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p0_budget0p4,4.0,0.4,5,5,0.3999331346139058,0.6245923009701738,0.5687662807867438,0.05582602018342997,1
standard_rank27,sharpen_rot4p0_budget0p4,4.0,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p0_budget0p8,4.0,0.8,5,5,0.7989619481192942,0.6245923009701738,0.5182065136276531,0.10638578734252069,1
standard_rank27,sharpen_rot4p0_budget0p8,4.0,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p0_budget1p2,4.0,1.2,7,7,1.1971002471650722,0.6245923009701738,0.4593775376678664,0.16521476330230744,1
standard_rank27,sharpen_rot4p0_budget1p2,4.0,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p0_budget2p0,4.0,2.0,10,10,1.9987316607442516,0.6245923009701738,0.3787486506791292,0.2458436502910446,1
standard_rank27,sharpen_rot4p0_budget2p0,4.0,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p0_budget3p0,4.0,3.0,15,15,2.999723425260231,0.6245923009701738,0.28646069158364695,0.33813160938652687,1
standard_rank27,sharpen_rot4p0_budget3p0,4.0,3.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p5_budget0p02,4.5,0.02,2,1,0.019804617315372704,0.6245923009701738,0.6214796078239969,0.0031126931461769036,1
standard_rank27,sharpen_rot4p5_budget0p02,4.5,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p5_budget0p05,4.5,0.05,2,2,0.04983125921922131,0.6245923009701738,0.6163329351524505,0.008259365817723352,1
standard_rank27,sharpen_rot4p5_budget0p05,4.5,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p5_budget0p1,4.5,0.1,1,1,0.09795417118128061,0.6245923009701738,0.6077694775122573,0.016822823457916525,1
standard_rank27,sharpen_rot4p5_budget0p1,4.5,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
