family,case,ker_gamma_dim_numeric,rank_H_numeric,deficiency_numeric,channel0_identity_max_abs,channel1_identity_max_abs,channel2_identity_max_abs,H_kernel_residual_max_abs
alphatensor_gamma,all_equal,14,0,14,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,0.0
alphatensor_gamma,k0_equals_k1,14,9,5,1.4432899320127035e-15,1.4432899320127035e-15,2.55351295663786e-15,1.9984014443252818e-15
alphatensor_gamma,all_collinear,14,9,5,1.4432899320127035e-15,2.886579864025407e-15,1.4432899320127035e-15,4.440892098500626e-15
standard_gamma,all_equal,18,0,18,1.1102230246251565e-15,1.1102230246251565e-15,1.1102230246251565e-15,0.0
standard_gamma,k0_equals_k1,18,9,9,1.1102230246251565e-15,1.1102230246251565e-15,1.3322676295501878e-15,2.220446049250313e-15
standard_gamma,all_collinear,18,9,9,1.1102230246251565e-15,1.9984014443252818e-15,9.992007221626409e-16,3.1086244689504383e-15
