init_mode,restart_id,seed,als_iterations,als_loss,als_max_abs,ls_nfev,final_loss,final_max_abs,success_lt_1e_10,success_lt_1e_15
random,0,910000,503,0.05661725236108031,0.039669216730544576,120,0.056131774532578185,0.03942519373367759,False,False
random,1,910001,503,2.0007824483511882,0.4597043454555302,120,2.0002249790982973,0.46031098181260766,False,False
random,2,910002,503,0.0061849003220455084,0.011207039992449597,120,0.004680303915390241,0.008419595574356453,False,False
random,3,910003,503,0.013179011259477843,0.0184084760642671,120,0.0115811426678482,0.01533925361161348,False,False
random,4,910004,503,0.03258414696963044,0.02447319532537051,120,0.03112504739345184,0.024066675548439775,False,False
random,5,910005,503,1.000458761401866,0.19684263887125397,120,1.0000059569746627,0.19644229966863191,False,False
random,6,910006,503,1.0000114725674794,0.500505722576574,120,0.0003236105447602652,0.00395006330064785,False,False
random,7,910007,503,1.0008969267245225,0.24536076210785918,120,1.000300842240095,0.24396594233947688,False,False
random,8,910008,503,0.08155138079823594,0.04687849699621438,120,0.08072411946195186,0.04390662463629269,False,False
random,9,910009,503,1.0005643280216046,0.23984450080390052,120,1.000034485402662,0.23967363258826446,False,False
random,10,910010,503,1.0091044685558255,0.3318594163653197,120,1.008660199262775,0.328832637549624,False,False
random,11,910011,503,0.005349740420437437,0.010516934412313661,120,0.0027722991072188456,0.008824845604832543,False,False
random,12,910012,503,0.020171243832382037,0.03180041081135365,120,0.01956673843779224,0.03042826442091323,False,False
random,13,910013,503,1.0077690767447043,0.3610099241418607,120,1.0065284172974844,0.35938262016714995,False,False
random,14,910014,503,0.0019554039508844247,0.006773717752025218,120,0.0006799503642111009,0.003941985547878515,False,False
random,15,910015,503,0.013562278984681523,0.016355839537517625,120,0.0123204295648296,0.015562040967765256,False,False
random,16,910016,503,1.0076504697027273,0.247366532519826,120,1.0056897797100763,0.24507828643098062,False,False
random,17,910017,503,0.01911176589029573,0.021235759060303394,120,0.018366761772504188,0.021195876415987414,False,False
random,18,910018,503,0.05604801228645367,0.03200560832115684,120,0.055238107488964,0.03126291012100069,False,False
random,19,910019,503,0.004728786209219497,0.009605573331519738,120,0.0038741022477643623,0.009283436764339955,False,False
